Unique_Key,Local_ID,Lane_Path,Final_Lane,Count,Mean_Dist,Min_Dist,Max_Dist,Mean_Radar_Vel,Mean_Track_Vel,Mean_Score
1(IN1),1,IN1,IN1,105,53.09458695712901,-1.0,97.8336374999098,37.652888021236514,31.681731029522293,23.730496521773333
1(IN2),1,IN2,IN2,74,62.08790324151025,-1.0,96.83139977941367,45.95140271868024,45.58090193688034,46.62668997981532
1(IN3),1,IN3,IN3,34,38.54365362433493,-1.0,77.24925623019683,50.411697649955755,50.282101986024685,22.681135340171167
1(OUT1),1,OUT1,OUT1,463,63.49473862029948,-1.0,96.67720752520454,26.5549726999723,6.930408111659051,35.19244438106425
1(OUT2),1,OUT2,OUT2,468,4.599113477283191,-1.0,89.89284090416874,31.862838077545167,32.3304869247901,78.33024143160264
1(OUT3),1,OUT3,OUT3,73,51.81691199690873,-1.0,85.5755132681088,47.57332819791941,41.84498434361747,73.13566120292933
10(IN2),10,IN2,IN2,129,62.62783300533141,-1.0,101.91966894000733,36.461472326681154,36.707837662360774,36.553029053170626
10(IN3),10,IN3,IN3,107,55.410871876188175,-1.0,102.99899929817575,41.05749356553361,38.06708180360171,48.71069664068078
11(IN2),11,IN2,IN2,118,36.798944912369656,-1.0,101.3029127035127,35.21691597485152,33.08038749249361,50.04046540783819
11(IN3),11,IN3,IN3,86,70.09657330643282,-1.0,102.69061981215337,46.443941831588745,43.25432675443933,50.61919432529501
12(IN2),12,IN2,IN2,130,65.56559497705913,-1.0,102.84480854739478,42.54443752253167,33.80838779054396,41.471421118653026
12(IN3),12,IN3,IN3,26,23.542227898754447,-1.0,88.81351378996376,102.80396347045898,36.97941065126434,78.27253737745009
13(IN2),13,IN2,IN2,127,59.87782477764321,-1.0,103.15318674247229,43.35379608456451,35.41168425520324,49.17437918116642
14(IN2),14,IN2,IN2,121,52.19018082821273,-1.0,103.1531872942388,44.37349010733671,35.16570526529326,48.96527889411255
15(IN2),15,IN2,IN2,80,59.497765166041766,-1.0,103.15318764125739,45.41482871483112,39.3302954620534,54.40927499580588
16(IN2),16,IN2,IN2,38,43.803285305056484,-1.0,103.15318736249539,47.02319041804263,39.87989901996934,66.96926343676297
2(IN1),2,IN1,IN1,76,60.281560614308404,-1.0,99.45263156120124,55.049137086868285,52.56012855295444,26.93742456624137
2(IN2),2,IN2,IN2,85,43.60402093543541,-1.0,103.15318808482493,45.92854649470402,40.17941588005247,48.26164237457799
2(OUT1),2,OUT1,OUT1,569,63.14954183490739,-1.0,96.67721259490305,19.312949708674818,4.269155361329554,48.35812620765374
2(OUT2),2,OUT2,OUT2,58,45.23156865422107,-1.0,88.81350605598473,52.45763192427786,46.32152464946979,62.30697412069559
2(OUT2->OUT3),2,OUT2->OUT3,OUT3,45,23.98677006291615,-1.0,97.60234735476791,39.43909749984741,33.24201612264208,57.816153627459514
2(OUT3),2,OUT3,OUT3,105,52.649138435712985,-1.0,93.28502376957128,41.513656085050556,41.848191036442756,42.352883302294195
3(IN2),3,IN2,IN2,91,47.33884816634223,-1.0,98.37329454566701,47.79764488996086,38.887661426697285,51.823901610202434
3(IN3),3,IN3,IN3,100,56.30156323857934,-1.0,103.15319112259783,43.94160396472828,31.866320102405094,46.38420452614911
3(OUT1),3,OUT1,OUT1,111,57.458801776457,-1.0,94.82692941056345,26.75272918542226,26.933861482294986,57.24417025416656
3(OUT2),3,OUT2,OUT2,226,37.67154772734142,-1.0,103.15319272278101,29.012973958412104,19.173109041719737,53.131234166849126
3(OUT3),3,OUT3,OUT3,96,45.340672206604715,-1.0,102.69061782008833,46.23654877798898,42.11896040735292,63.34728702334957
4(IN2),4,IN2,IN2,103,55.454390555146524,-1.0,102.22804659881308,39.98017059125399,37.18092316297605,47.0701910756787
4(IN3),4,IN3,IN3,70,59.73133825920308,-1.0,86.19228478122075,40.620769435069604,29.90477601265287,23.081182717796906
4(OUT1),4,OUT1,OUT1,100,57.265575733187546,-1.0,101.14872221149301,22.71127079253973,21.690138566775566,44.87472029716695
4(OUT2),4,OUT2,OUT2,30,46.77372261007232,-1.0,78.17439324124646,39.00002374649048,30.97415987022992,68.65042717234557
4(OUT3),4,OUT3,OUT3,46,59.23094072905094,-1.0,79.09953645994928,41.57201433181763,41.65482786359711,31.263782066539747
5(IN2),5,IN2,IN2,51,62.38377394186569,-1.0,90.20122533701353,40.76830619812012,35.8037740509904,13.391875469061828
5(IN3),5,IN3,IN3,39,61.62668626027582,-1.0,79.09952551483254,46.102807075098944,44.10853567824919,34.41688277288181
5(OUT1),5,OUT1,OUT1,135,59.133220057560294,-1.0,103.15319764155478,21.2153190702495,15.380966277176775,30.283287359449826
6(IN2),6,IN2,IN2,72,57.288521626435895,-1.0,96.21463146352599,39.93763753991378,35.81329256953243,47.448957404525466
6(IN3),6,IN3,IN3,73,55.84685473324508,-1.0,94.8269185397126,41.008375479958275,41.55050729463593,42.800962629246165
6(OUT1),6,OUT1,OUT1,79,41.86206673069987,-1.0,92.51407114211453,16.955698643624782,15.976839773413179,35.829860734008335
7(IN2),7,IN2,IN2,101,65.39373747765066,-1.0,103.15318808482493,34.08816454909569,32.93526333630616,33.8574434496123
7(IN3),7,IN3,IN3,78,62.13096947494971,-1.0,96.52301721854205,43.61469595927113,43.52715354846196,53.07529461487247
8(IN2),8,IN2,IN2,124,66.9510238196477,-1.0,102.99899601024265,32.615017047681306,33.01672542655364,29.57792246805723
8(IN3),8,IN3,IN3,62,29.10972905816805,-1.0,88.35093585198955,43.37373352050781,4.0327879509701265,17.722812215044417
9(IN2),9,IN2,IN2,128,53.29670128503003,-1.0,102.45933102092634,35.03132056022177,33.13990694170039,19.85753549388325
9(IN3),9,IN3,IN3,101,61.35347530706453,-1.0,103.15318732498599,37.78508336935471,34.46841033609346,50.218406131637906
