timestamp,iter_idx,iterations_total,bbox_ref_mode,calib_exit_code,Rt_multiline,valid_tracks,rmse_abs_mean,rmse_abs_median,rmse_db_mean,rmse_db_median,ru_abs_mean,rv_abs_mean,angle_diff_mean_deg,global_bias_u,global_bias_v,distance_bins_text,lane_rmse_text,distance_bias_v_text
2026-02-26T17:32:12,1,100,bottom,0,"{
    ""R"": [[0.9879875463929091, -0.03617347917376009, -0.15024009976362593],
          [-0.15423465845998877, -0.1703873648457061, -0.973231635342104],
          [0.009606159599412026, 0.9847129659476421, -0.17391979873593708]],
    ""t"": [0.08, 0.0, -0.08]
}",18.0,47.08,44.36,26.61,27.15,0.273,0.182,13.11,-18.09,-15.55,"30-40m: RMSE 78.51, Bias(64.03,-39.64), N=12
40-50m: RMSE 50.11, Bias(3.86,-30.99), N=147
50-60m: RMSE 41.67, Bias(-6.59,-10.69), N=235
60-70m: RMSE 44.53, Bias(-32.43,-11.93), N=207
70-80m: RMSE 51.41, Bias(-34.67,-16.0), N=127
80-90m: RMSE 51.43, Bias(-33.72,-11.21), N=103
90-100m: RMSE 45.78, Bias(-26.8,-11.04), N=64
100-110m: RMSE 40.16, Bias(2.34,-16.4), N=16","IN1: RMSE 32.88, Bias(-13.1,-9.23), N=153
IN2: RMSE 30.82, Bias(-21.47,-2.28), N=153
IN3: RMSE 47.69, Bias(-43.43,-7.53), N=151
OUT1: RMSE 47.02, Bias(-22.14,-10.13), N=150
OUT2: RMSE 61.36, Bias(-30.94,-43.98), N=153
OUT3: RMSE 55.65, Bias(22.65,-20.02), N=151","30-40m: -39.64
40-50m: -30.99
50-60m: -10.69
60-70m: -11.93
70-80m: -16.0
80-90m: -11.21
90-100m: -11.04
100-110m: -16.4"
2026-02-26T17:33:36,2,100,bottom,0,"{
    ""R"": [[0.9866299151056479, -0.03294532470304789, -0.15961208036622312],
          [-0.16287718161147816, -0.1650999713762262, -0.9727348164643186],
          [0.005695114478613749, 0.9857264351896933, -0.16825861237777817]],
    ""t"": [0.08, 0.0, -0.08]
}",21.0,38.37,36.87,25.25,25.7,0.229,0.153,13.09,-14.19,-5.03,"40-50m: RMSE 42.61, Bias(11.15,-19.14), N=148
50-60m: RMSE 40.14, Bias(1.23,-2.44), N=228
60-70m: RMSE 34.03, Bias(-20.83,0.63), N=204
70-80m: RMSE 40.61, Bias(-24.44,-4.91), N=148
80-90m: RMSE 45.55, Bias(-35.51,-4.34), N=115
90-100m: RMSE 44.76, Bias(-39.61,-1.14), N=87
100-110m: RMSE 35.06, Bias(-6.51,-7.32), N=21","IN1: RMSE 28.09, Bias(2.45,9.31), N=161
IN2: RMSE 24.81, Bias(-11.46,9.85), N=158
IN3: RMSE 44.22, Bias(-36.91,5.48), N=163
OUT1: RMSE 37.26, Bias(-12.36,-13.62), N=156
OUT2: RMSE 54.31, Bias(-34.29,-30.77), N=163
OUT3: RMSE 45.27, Bias(8.79,-10.41), N=156","40-50m: -19.14
50-60m: -2.44
60-70m: 0.63
70-80m: -4.91
80-90m: -4.34
90-100m: -1.14
100-110m: -7.32"
2026-02-26T17:35:00,3,100,bottom,0,"{
    ""R"": [[0.9993837612759613, -0.026217923435928138, 0.023339198542734932],
          [0.0190020838885924, -0.15495696659583308, -0.9877384569365052],
          [0.02951302264764344, 0.9875732676587211, -0.15436328093194335]],
    ""t"": [0.2747745215892792, 0.5501556992530823, -1.1808946132659912]
}",24.0,24.17,24.26,18.71,19.29,0.115,0.117,7.76,1.14,5.71,"30-40m: RMSE 34.46, Bias(-10.32,-20.85), N=9
40-50m: RMSE 27.74, Bias(9.39,-0.58), N=213
50-60m: RMSE 25.38, Bias(3.8,9.94), N=244
60-70m: RMSE 24.21, Bias(6.92,9.3), N=203
70-80m: RMSE 21.19, Bias(-0.68,8.2), N=148
80-90m: RMSE 17.37, Bias(-7.66,5.94), N=106
90-100m: RMSE 23.75, Bias(-12.62,0.88), N=115
100-110m: RMSE 30.54, Bias(-20.28,5.05), N=32","IN1: RMSE 25.87, Bias(11.88,10.82), N=179
IN2: RMSE 21.17, Bias(6.89,10.94), N=178
IN3: RMSE 24.78, Bias(3.64,9.0), N=180
OUT1: RMSE 23.84, Bias(-10.71,5.6), N=176
OUT2: RMSE 26.08, Bias(-2.82,-0.16), N=178
OUT3: RMSE 25.08, Bias(-2.21,-1.99), N=179","30-40m: -20.85
40-50m: -0.58
50-60m: 9.94
60-70m: 9.3
70-80m: 8.2
80-90m: 5.94
90-100m: 0.88
100-110m: 5.05"
2026-02-26T17:36:24,4,100,bottom,-1,"{
    ""R"": [[0.8654625854241129, -0.05030506813105476, -0.498441484380403],
          [-0.5004292307222469, -0.1331790501694765, -0.8554729251324649],
          [-0.023347339671784845, 0.989814498134012, -0.14043561163025667]],
    ""t"": [0.08, 0.0, -0.08]
}",9.0,57.25,58.65,36.57,33.32,0.287,0.197,27.53,-9.29,-17.59,"30-40m: RMSE 51.58, Bias(20.57,-34.42), N=15
40-50m: RMSE 56.9, Bias(5.06,-21.44), N=27
50-60m: RMSE 54.06, Bias(-23.46,-28.13), N=62
60-70m: RMSE 56.22, Bias(-27.88,-6.46), N=44
70-80m: RMSE 44.95, Bias(-5.64,9.37), N=14
80-90m: RMSE 72.56, Bias(-38.06,-30.37), N=16
90-100m: RMSE 67.31, Bias(15.58,-9.21), N=31
100-110m: RMSE 49.25, Bias(19.81,-11.43), N=15","IN1: RMSE 63.86, Bias(50.88,-12.8), N=38
IN2: RMSE 73.1, Bias(-40.28,-38.53), N=37
IN3: RMSE 51.01, Bias(-38.55,-6.0), N=38
OUT1: RMSE 54.52, Bias(-24.73,-8.9), N=38
OUT2: RMSE 40.11, Bias(-22.93,-0.56), N=36
OUT3: RMSE 55.69, Bias(18.35,-38.37), N=38","30-40m: -34.42
40-50m: -21.44
50-60m: -28.13
60-70m: -6.46
70-80m: 9.37
80-90m: -30.37
90-100m: -9.21
100-110m: -11.43"
2026-02-26T17:37:48,5,100,bottom,0,"{
    ""R"": [[0.9992511593146024, -0.02269864884473954, 0.031335155162289574],
          [0.02746365973046116, -0.1543880030362576, -0.9876285191875971],
          [0.02725560497642664, 0.9877495208093496, -0.1536490030500336]],
    ""t"": [0.08, 0.0, -0.08]
}",26.0,29.13,26.05,20.16,20.01,0.13,0.133,7.16,5.9,-7.52,"30-40m: RMSE 51.2, Bias(-18.04,-39.51), N=6
40-50m: RMSE 42.43, Bias(8.41,-28.02), N=172
50-60m: RMSE 32.7, Bias(5.99,-7.19), N=340
60-70m: RMSE 30.59, Bias(12.54,-3.38), N=313
70-80m: RMSE 28.2, Bias(5.44,-4.69), N=226
80-90m: RMSE 22.28, Bias(1.01,-2.97), N=169
90-100m: RMSE 22.31, Bias(0.54,-3.99), N=167
100-110m: RMSE 25.91, Bias(-5.41,-1.45), N=51","IN1: RMSE 29.12, Bias(18.09,-5.34), N=241
IN2: RMSE 24.8, Bias(17.79,4.47), N=243
IN3: RMSE 23.19, Bias(8.67,1.73), N=238
OUT1: RMSE 29.38, Bias(8.49,-11.04), N=244
OUT2: RMSE 28.48, Bias(-5.7,-9.68), N=237
OUT3: RMSE 44.55, Bias(-12.26,-25.26), N=241","30-40m: -39.51
40-50m: -28.02
50-60m: -7.19
60-70m: -3.38
70-80m: -4.69
80-90m: -2.97
90-100m: -3.99
100-110m: -1.45"
2026-02-26T17:39:12,6,100,bottom,0,"{
    ""R"": [[0.9996814479748679, -0.024477997487934843, -0.006150627110512452],
          [-0.009834638028681102, -0.15335969992737897, -0.9881214916866395],
          [0.0232439770632465, 0.987867212775667, -0.15355157912935385]],
    ""t"": [0.400187611579895, 0.5952765345573425, -1.157133936882019]
}",24.0,32.32,29.58,20.38,19.59,0.15,0.129,5.29,16.43,0.69,"30-40m: RMSE 37.82, Bias(7.59,-23.05), N=10
40-50m: RMSE 44.99, Bias(30.12,-0.92), N=200
50-60m: RMSE 37.58, Bias(21.52,1.53), N=224
60-70m: RMSE 35.62, Bias(17.49,-1.33), N=172
70-80m: RMSE 29.23, Bias(8.82,1.48), N=144
80-90m: RMSE 23.9, Bias(2.87,3.72), N=109
90-100m: RMSE 23.09, Bias(3.05,3.54), N=68
100-110m: RMSE 18.25, Bias(-4.74,4.36), N=23","IN1: RMSE 39.66, Bias(30.78,14.34), N=159
IN2: RMSE 34.61, Bias(21.26,9.93), N=161
IN3: RMSE 25.08, Bias(11.21,7.31), N=156
OUT1: RMSE 31.0, Bias(16.31,-0.59), N=157
OUT2: RMSE 26.37, Bias(1.89,-1.28), N=158
OUT3: RMSE 48.96, Bias(16.89,-25.59), N=159","30-40m: -23.05
40-50m: -0.92
50-60m: 1.53
60-70m: -1.33
70-80m: 1.48
80-90m: 3.72
90-100m: 3.54
100-110m: 4.36"
2026-02-26T17:40:36,7,100,bottom,-1,"{
    ""R"": [[0.9556708020319065, -0.029844018588090902, -0.29292089836371454],
          [-0.29395042950669587, -0.1538933853151422, -0.9433503966973638],
          [-0.01692522190462602, 0.9876366540943885, -0.15584407705370243]],
    ""t"": [0.13173151016235352, 0.2337704300880432, -1.7328163385391235]
}",14.0,39.62,36.55,28.64,29.09,0.206,0.144,16.81,-3.96,-6.91,"40-50m: RMSE 39.83, Bias(24.23,4.31), N=64
50-60m: RMSE 38.89, Bias(0.3,-4.48), N=81
60-70m: RMSE 43.92, Bias(-20.41,-10.57), N=69
70-80m: RMSE 49.42, Bias(-13.64,-13.35), N=77
80-90m: RMSE 48.34, Bias(-16.36,-9.95), N=71
90-100m: RMSE 33.51, Bias(1.41,-7.89), N=40
100-110m: RMSE 35.56, Bias(22.64,-1.0), N=15","IN1: RMSE 49.84, Bias(15.1,-14.34), N=70
IN2: RMSE 44.81, Bias(-10.26,0.51), N=70
IN3: RMSE 33.81, Bias(20.43,2.38), N=70
OUT1: RMSE 28.32, Bias(-8.69,1.61), N=72
OUT2: RMSE 47.88, Bias(-32.74,2.66), N=66
OUT3: RMSE 49.86, Bias(-9.16,-34.37), N=69","40-50m: 4.31
50-60m: -4.48
60-70m: -10.57
70-80m: -13.35
80-90m: -9.95
90-100m: -7.89
100-110m: -1.0"
2026-02-26T17:42:00,8,100,bottom,0,"{
    ""R"": [[0.9964002525086655, -0.02695092404799989, -0.08037527289922708],
          [-0.0837083294579115, -0.16296999835988757, -0.983073596031316],
          [0.013395983727671819, 0.986262859144324, -0.1646393643465339]],
    ""t"": [0.22741520404815674, 0.4757131338119507, -1.632193684577942]
}",22.0,32.96,27.72,22.98,23.4,0.159,0.174,9.93,-4.24,-6.27,"40-50m: RMSE 41.4, Bias(10.68,-12.66), N=150
50-60m: RMSE 37.63, Bias(1.31,-10.05), N=222
60-70m: RMSE 28.32, Bias(0.52,0.16), N=196
70-80m: RMSE 29.22, Bias(-11.43,-5.92), N=165
80-90m: RMSE 32.38, Bias(-14.53,-4.27), N=159
90-100m: RMSE 30.53, Bias(-15.47,-4.8), N=108
100-110m: RMSE 29.91, Bias(-16.09,-6.3), N=31","IN1: RMSE 26.63, Bias(11.03,10.3), N=172
IN2: RMSE 21.26, Bias(0.5,7.98), N=172
IN3: RMSE 25.12, Bias(-17.36,5.39), N=172
OUT1: RMSE 28.69, Bias(-0.28,-9.09), N=171
OUT2: RMSE 37.83, Bias(-17.38,-14.73), N=172
OUT3: RMSE 52.25, Bias(-1.94,-37.49), N=172","40-50m: -12.66
50-60m: -10.05
60-70m: 0.16
70-80m: -5.92
80-90m: -4.27
90-100m: -4.8
100-110m: -6.3"
2026-02-26T17:43:24,9,100,bottom,0,"{
    ""R"": [[0.9907437650049056, -0.029858878153493855, 0.13242069135645185],
          [0.12645408506584085, -0.15168772328293093, -0.9803061761385586],
          [0.04935743585385005, 0.9879773691743435, -0.14650788895236047]],
    ""t"": [0.31831443309783936, 0.5009660720825195, -1.2955741882324219]
}",23.0,24.26,23.77,18.34,18.59,0.111,0.11,6.56,-7.25,1.74,"30-40m: RMSE 35.88, Bias(-19.4,1.22), N=14
40-50m: RMSE 28.29, Bias(-10.65,-2.55), N=181
50-60m: RMSE 25.79, Bias(-8.43,3.19), N=239
60-70m: RMSE 21.71, Bias(-4.13,3.54), N=229
70-80m: RMSE 22.9, Bias(-3.43,3.42), N=167
80-90m: RMSE 18.71, Bias(-7.24,0.57), N=131
90-100m: RMSE 19.9, Bias(-8.4,0.39), N=142
100-110m: RMSE 24.95, Bias(-10.92,4.15), N=35","IN1: RMSE 26.68, Bias(-10.42,-8.0), N=191
IN2: RMSE 17.12, Bias(2.55,4.44), N=190
IN3: RMSE 18.83, Bias(-10.03,1.71), N=188
OUT1: RMSE 22.06, Bias(-3.7,5.03), N=190
OUT2: RMSE 24.85, Bias(-9.01,2.66), N=189
OUT3: RMSE 30.25, Bias(-12.93,4.61), N=190","30-40m: 1.22
40-50m: -2.55
50-60m: 3.19
60-70m: 3.54
70-80m: 3.42
80-90m: 0.57
90-100m: 0.39
100-110m: 4.15"
2026-02-26T17:44:48,10,100,bottom,0,"{
    ""R"": [[0.9901170855818978, -0.03097321932950733, 0.13678017591440203],
          [0.1305932134801386, -0.1519058010671612, -0.9797295750333737],
          [0.051123081203498316, 0.987909554203476, -0.14635963679153527]],
    ""t"": [0.2617289423942566, 0.5688779950141907, -1.5259647369384766]
}",22.0,28.08,28.23,19.04,18.96,0.144,0.113,5.68,-15.3,1.99,"30-40m: RMSE 38.26, Bias(-24.15,9.21), N=12
40-50m: RMSE 34.42, Bias(-19.88,-4.28), N=177
50-60m: RMSE 29.0, Bias(-15.61,3.5), N=226
60-70m: RMSE 25.57, Bias(-13.31,4.64), N=244
70-80m: RMSE 26.03, Bias(-12.28,4.77), N=185
80-90m: RMSE 23.64, Bias(-14.26,0.22), N=133
90-100m: RMSE 24.52, Bias(-16.08,-0.21), N=145
100-110m: RMSE 28.06, Bias(-17.63,3.96), N=36","IN1: RMSE 34.04, Bias(-19.91,-9.72), N=193
IN2: RMSE 19.38, Bias(-7.08,4.61), N=193
IN3: RMSE 23.85, Bias(-17.63,1.06), N=194
OUT1: RMSE 26.3, Bias(-13.28,5.27), N=194
OUT2: RMSE 29.17, Bias(-17.57,2.64), N=191
OUT3: RMSE 31.29, Bias(-16.36,8.04), N=193","30-40m: 9.21
40-50m: -4.28
50-60m: 3.5
60-70m: 4.64
70-80m: 4.77
80-90m: 0.22
90-100m: -0.21
100-110m: 3.96"
2026-02-26T17:46:13,11,100,bottom,0,"{
    ""R"": [[0.993994575212877, -0.02538011227139155, 0.10644545245553363],
          [0.10132730988803625, -0.15385270130008002, -0.9828845927032951],
          [0.04132264171402412, 0.9877677845545274, -0.1503570519730103]],
    ""t"": [0.08, 0.0, -0.08]
}",24.0,29.91,30.23,20.99,20.63,0.128,0.143,7.08,-1.67,-11.41,"40-50m: RMSE 44.47, Bias(-10.21,-26.02), N=157
50-60m: RMSE 31.11, Bias(-5.19,-11.05), N=309
60-70m: RMSE 24.99, Bias(3.2,-8.93), N=279
70-80m: RMSE 24.35, Bias(3.59,-8.29), N=183
80-90m: RMSE 23.06, Bias(-2.4,-7.4), N=147
90-100m: RMSE 21.87, Bias(-1.05,-10.9), N=139
100-110m: RMSE 26.96, Bias(3.25,-6.21), N=45","IN1: RMSE 33.02, Bias(4.87,-23.78), N=211
IN2: RMSE 22.51, Bias(9.73,-9.18), N=211
IN3: RMSE 21.49, Bias(-1.55,-6.15), N=210
OUT1: RMSE 32.58, Bias(3.23,-16.08), N=209
OUT2: RMSE 26.27, Bias(-7.11,-9.61), N=210
OUT3: RMSE 36.08, Bias(-19.23,-3.65), N=210","40-50m: -26.02
50-60m: -11.05
60-70m: -8.93
70-80m: -8.29
80-90m: -7.4
90-100m: -10.9
100-110m: -6.21"
2026-02-26T17:47:38,12,100,bottom,0,"{
    ""R"": [[0.9994349684854965, -0.02312436890677558, 0.02439277210691405],
          [0.020582909416254368, -0.15266685208340675, -0.9880633462055489],
          [0.026572309052070697, 0.9880071334953038, -0.15210462371024344]],
    ""t"": [0.08, 0.0, -0.08]
}",27.0,28.52,26.48,20.14,19.28,0.13,0.129,8.04,4.68,-3.79,"30-40m: RMSE 45.12, Bias(-21.4,-27.42), N=7
40-50m: RMSE 40.87, Bias(9.96,-22.5), N=195
50-60m: RMSE 31.14, Bias(5.67,-1.88), N=343
60-70m: RMSE 29.78, Bias(10.14,0.95), N=288
70-80m: RMSE 27.43, Bias(5.25,-1.18), N=203
80-90m: RMSE 21.83, Bias(-1.98,-0.84), N=149
90-100m: RMSE 22.31, Bias(-3.04,-0.86), N=157
100-110m: RMSE 26.37, Bias(-9.02,3.55), N=49","IN1: RMSE 29.78, Bias(19.81,-0.7), N=233
IN2: RMSE 23.23, Bias(12.6,8.37), N=232
IN3: RMSE 27.2, Bias(12.05,2.45), N=231
OUT1: RMSE 24.74, Bias(1.71,-3.09), N=231
OUT2: RMSE 30.57, Bias(-5.43,-9.57), N=232
OUT3: RMSE 41.67, Bias(-12.71,-20.2), N=232","30-40m: -27.42
40-50m: -22.5
50-60m: -1.88
60-70m: 0.95
70-80m: -1.18
80-90m: -0.84
90-100m: -0.86
100-110m: 3.55"
2026-02-26T17:49:02,13,100,bottom,0,"{
    ""R"": [[0.9993462437990575, -0.028288506543243313, -0.02251322727346532],
          [-0.026905232563215743, -0.1659649998936693, -0.985764539467217],
          [0.024149398862769286, 0.985725813402412, -0.1666176080932613]],
    ""t"": [0.08, 0.0, -0.08]
}",25.0,44.45,40.8,24.51,22.16,0.162,0.286,11.12,-7.77,-30.63,"40-50m: RMSE 60.88, Bias(-0.64,-51.03), N=103
50-60m: RMSE 46.3, Bias(-7.24,-34.66), N=278
60-70m: RMSE 38.66, Bias(-6.14,-29.38), N=245
70-80m: RMSE 39.4, Bias(-9.62,-27.51), N=179
80-90m: RMSE 39.52, Bias(-14.51,-22.3), N=142
90-100m: RMSE 36.4, Bias(-9.05,-22.98), N=135
100-110m: RMSE 35.33, Bias(-4.8,-25.68), N=26","IN1: RMSE 38.9, Bias(-1.09,-29.81), N=186
IN2: RMSE 32.7, Bias(1.1,-26.15), N=185
IN3: RMSE 35.94, Bias(-20.59,-23.61), N=186
OUT1: RMSE 45.71, Bias(-6.28,-36.51), N=186
OUT2: RMSE 48.43, Bias(-16.08,-32.23), N=184
OUT3: RMSE 53.29, Bias(-3.75,-35.44), N=186","40-50m: -51.03
50-60m: -34.66
60-70m: -29.38
70-80m: -27.51
80-90m: -22.3
90-100m: -22.98
100-110m: -25.68"
2026-02-26T17:50:26,14,100,bottom,0,"{
    ""R"": [[0.9982920516211119, -0.027151240929814337, 0.051728036750709167],
          [0.04692368781034285, -0.15480753796166466, -0.9868296680342179],
          [0.034801540086453385, 0.9875714841499929, -0.15326909832510938]],
    ""t"": [0.2596956491470337, 0.4575997591018677, -1.590327262878418]
}",25.0,23.06,20.87,18.92,17.85,0.108,0.113,5.41,-5.2,1.95,"30-40m: RMSE 39.64, Bias(-16.31,-25.13), N=9
40-50m: RMSE 27.6, Bias(-1.49,-9.79), N=233
50-60m: RMSE 24.23, Bias(-4.8,5.9), N=303
60-70m: RMSE 20.92, Bias(-0.43,7.56), N=271
70-80m: RMSE 20.82, Bias(-5.29,5.66), N=188
80-90m: RMSE 20.35, Bias(-11.2,1.85), N=136
90-100m: RMSE 21.19, Bias(-11.0,-0.68), N=145
100-110m: RMSE 27.32, Bias(-16.32,0.91), N=45","IN1: RMSE 22.17, Bias(-1.71,-0.07), N=222
IN2: RMSE 17.96, Bias(1.94,6.86), N=222
IN3: RMSE 19.84, Bias(-6.79,6.87), N=221
OUT1: RMSE 21.57, Bias(-5.75,2.46), N=223
OUT2: RMSE 29.92, Bias(-12.25,-4.09), N=220
OUT3: RMSE 26.52, Bias(-6.69,-0.38), N=222","30-40m: -25.13
40-50m: -9.79
50-60m: 5.9
60-70m: 7.56
70-80m: 5.66
80-90m: 1.85
90-100m: -0.68
100-110m: 0.91"
